Timestamp,Namespace,Pod,Container,CPU (millicores),Memory (MB)
2024-11-23T18:35:26.826119,argocd,argocd-application-controller-0,application-controller,3.13601,150.3984375
2024-11-23T18:35:26.826372,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.243416,43.109375
2024-11-23T18:35:26.826411,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.051528,97.82421875
2024-11-23T18:35:26.826439,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.124677,36.7265625
2024-11-23T18:35:26.826475,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.904994,11.1953125
2024-11-23T18:35:26.826500,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.792379,55.27734375
2024-11-23T18:35:26.826524,argocd,argocd-server-858f464b75-j92hs,server,0.302019,43.69921875
2024-11-23T18:35:41.911341,argocd,argocd-application-controller-0,application-controller,2.949255,150.3984375
2024-11-23T18:35:41.912075,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.275868,43.109375
2024-11-23T18:35:41.912143,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.070666,97.82421875
2024-11-23T18:35:41.912191,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.093697,36.7265625
2024-11-23T18:35:41.912225,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.908824,11.1953125
2024-11-23T18:35:41.912432,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.670303,55.27734375
2024-11-23T18:35:41.912497,argocd,argocd-server-858f464b75-j92hs,server,0.264917,43.69921875
2024-11-23T18:35:56.962164,argocd,argocd-application-controller-0,application-controller,2.949255,150.3984375
2024-11-23T18:35:56.962521,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.255764,43.109375
2024-11-23T18:35:56.962567,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.034699,97.82421875
2024-11-23T18:35:56.962593,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.106807,36.7265625
2024-11-23T18:35:56.962619,argocd,argocd-redis-7855f78d87-9vqnb,redis,1.032253,11.1953125
2024-11-23T18:35:56.962640,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.423707,55.26953125
2024-11-23T18:35:56.962660,argocd,argocd-server-858f464b75-j92hs,server,0.318312,43.69921875
2024-11-23T18:36:12.003327,argocd,argocd-application-controller-0,application-controller,3.559176,151.6640625
2024-11-23T18:36:12.003420,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.236633,43.109375
2024-11-23T18:36:12.003456,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.053441,97.82421875
2024-11-23T18:36:12.003486,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.038355,36.7265625
2024-11-23T18:36:12.003511,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.89644,10.9453125
2024-11-23T18:36:12.003534,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.474808,55.26953125
2024-11-23T18:36:12.003557,argocd,argocd-server-858f464b75-j92hs,server,0.278361,43.69921875
2024-11-23T18:36:27.103632,argocd,argocd-application-controller-0,application-controller,2.8909,151.6640625
2024-11-23T18:36:27.104428,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.688248,43.109375
2024-11-23T18:36:27.104770,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.041342,97.82421875
2024-11-23T18:36:27.105050,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.101897,36.7265625
2024-11-23T18:36:27.105349,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.917908,11.1953125
2024-11-23T18:36:27.105661,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.523637,55.2734375
2024-11-23T18:36:27.105884,argocd,argocd-server-858f464b75-j92hs,server,0.341087,43.69921875
2024-11-23T18:36:42.178046,argocd,argocd-application-controller-0,application-controller,3.175119,152.296875
2024-11-23T18:36:42.179610,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.688248,43.109375
2024-11-23T18:36:42.179800,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.053475,97.82421875
2024-11-23T18:36:42.179890,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.101897,36.7265625
2024-11-23T18:36:42.179959,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.986471,10.93359375
2024-11-23T18:36:42.180022,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.735647,55.2734375
2024-11-23T18:36:42.180082,argocd,argocd-server-858f464b75-j92hs,server,0.294498,43.69921875
2024-11-23T18:36:57.287035,argocd,argocd-application-controller-0,application-controller,2.97044,152.9296875
2024-11-23T18:36:57.288038,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.243561,43.109375
2024-11-23T18:36:57.288645,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.433315,98.07421875
2024-11-23T18:36:57.290670,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.129154,36.7265625
2024-11-23T18:36:57.291772,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.9445,10.93359375
2024-11-23T18:36:57.292594,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.478432,55.26953125
2024-11-23T18:36:57.294016,argocd,argocd-server-858f464b75-j92hs,server,1.055701,43.94921875
2024-11-23T18:37:12.404647,argocd,argocd-application-controller-0,application-controller,5.536662,151.82421875
2024-11-23T18:37:12.405429,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.235331,43.109375
