{'Timestamp': '2024-11-22T21:17:32.543441', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.774695, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:17:32.543560', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.712541, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:17:32.543596', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.705417, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:18:02.613377', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.695545, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:18:02.613768', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.695642, 'Memory (MB)': 215.515625}
{'Timestamp': '2024-11-22T21:18:02.613851', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.767051, 'Memory (MB)': 201.51953125}
{'Timestamp': '2024-11-22T21:18:32.671499', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.747546, 'Memory (MB)': 328.171875}
{'Timestamp': '2024-11-22T21:18:32.671760', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.689316, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:18:32.671820', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.696199, 'Memory (MB)': 201.51953125}
{'Timestamp': '2024-11-22T21:19:02.713581', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.831513, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:19:02.713838', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.90432, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:19:02.713879', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.755731, 'Memory (MB)': 201.51953125}
{'Timestamp': '2024-11-22T21:19:32.759159', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.756263, 'Memory (MB)': 328.1640625}
{'Timestamp': '2024-11-22T21:19:32.759277', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.712255, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:19:32.759324', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.719575, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:20:02.795843', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.654088, 'Memory (MB)': 328.16015625}
{'Timestamp': '2024-11-22T21:20:02.795937', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.706685, 'Memory (MB)': 215.51953125}
